clientnum,attrition_flag,customer_age,gender,dependent_count,education_level,marital_status,income_category,card_category,months_on_book,total_relationship_count,months_inactive_12_mon,contacts_count_12_mon,credit_limit,total_revolving_bal,avg_open_to_buy,total_amt_chng_q4_q1,total_trans_amt,total_trans_ct,total_ct_chng_q4_q1,avg_utilization_ratio
711363258,Existing Customer,49,Female,1,Post-Graduate,Married,Unknown,Blue,39,6,3,1,4821.00,0.00,4821.00,0.75,4680.00,77.00,0.97,0.00
788772708,Existing Customer,50,Female,2,Graduate,Married,Unknown,Blue,31,5,1,3,13745.00,0.00,13745.00,0.53,4432.00,61.00,0.61,0.00
717248583,Existing Customer,43,Female,3,College,Married,Less Than $40k,Silver,34,4,2,2,11362.00,1871.00,9491.00,0.86,7849.00,88.00,0.63,0.17
778863258,Attrited Customer,46,Female,4,Unknown,Married,Unknown,Blue,27,1,2,3,6030.00,0.00,6030.00,1.03,4983.00,62.00,0.44,0.00
712813458,Existing Customer,49,Male,2,Unknown,Married,$120k +,Blue,36,4,2,0,19763.00,2517.00,17246.00,0.66,1414.00,35.00,0.25,0.13
714374133,Attrited Customer,56,Male,2,Graduate,Married,$120k +,Blue,36,1,3,3,15769.00,0.00,15769.00,1.04,602.00,15.00,0.36,0.00
768563658,Existing Customer,56,Male,2,Uneducated,Married,$40k - $60k,Blue,50,4,2,3,4458.00,1880.00,2578.00,1.11,1424.00,29.00,1.42,0.42
787584108,Existing Customer,55,Male,3,Unknown,Married,$80k - $120k,Blue,47,4,2,3,3436.00,2016.00,1420.00,0.90,1097.00,33.00,0.83,0.59
712030833,Attrited Customer,48,Male,2,Graduate,Married,$60k - $80k,Silver,35,2,4,4,34516.00,0.00,34516.00,0.76,691.00,15.00,0.50,0.00
807986133,Existing Customer,57,Male,2,College,Married,$60k - $80k,Blue,52,5,3,3,6584.00,1817.00,4767.00,0.62,1353.00,35.00,0.67,0.28
711314058,Existing Customer,49,Male,2,Graduate,Married,$60k - $80k,Blue,32,2,2,2,1687.00,1107.00,580.00,1.72,1670.00,17.00,2.40,0.66
709857033,Existing Customer,60,Female,1,College,Single,$40k - $60k,Blue,50,5,1,3,1438.30,0.00,1438.30,0.58,4148.00,84.00,0.71,0.00
717975333,Existing Customer,50,Male,2,Doctorate,Married,$80k - $120k,Blue,38,6,2,2,25300.00,1330.00,23970.00,1.07,837.00,15.00,2.00,0.05
709919283,Existing Customer,54,Male,4,Graduate,Married,$80k - $120k,Blue,34,2,3,2,14926.00,2517.00,12409.00,2.00,1576.00,25.00,1.50,0.17
818839983,Existing Customer,55,Male,2,Graduate,Married,$120k +,Blue,50,3,2,0,10916.00,1536.00,9380.00,1.32,1592.00,34.00,1.00,0.14
712350858,Existing Customer,41,Male,2,High School,Married,$80k - $120k,Blue,24,4,1,3,9366.00,1104.00,8262.00,0.57,1303.00,39.00,0.63,0.12
712720158,Existing Customer,68,Male,1,Graduate,Married,Unknown,Blue,56,5,2,3,13860.00,1652.00,12208.00,1.26,1910.00,32.00,1.91,0.12
712454058,Existing Customer,49,Male,1,Doctorate,Married,$120k +,Blue,38,6,1,3,9364.00,618.00,8746.00,0.55,1099.00,27.00,0.80,0.07
720253908,Existing Customer,56,Male,0,High School,Married,$80k - $120k,Blue,43,5,2,1,2852.00,1024.00,1828.00,1.01,1651.00,28.00,1.00,0.36
713187033,Existing Customer,46,Male,1,Uneducated,Married,$60k - $80k,Blue,36,3,2,2,20459.00,2071.00,18388.00,1.25,1767.00,38.00,2.17,0.10
709531908,Existing Customer,53,Male,3,High School,Married,$60k - $80k,Blue,47,5,2,2,1438.30,0.00,1438.30,0.78,2184.00,53.00,0.83,0.00
708953883,Attrited Customer,53,Male,2,Unknown,Married,$80k - $120k,Blue,36,2,2,1,3212.00,0.00,3212.00,0.71,757.00,20.00,0.25,0.00
712608783,Existing Customer,50,Male,2,High School,Married,$80k - $120k,Silver,45,3,1,3,34516.00,1260.00,33256.00,0.59,1504.00,34.00,0.79,0.04
716264358,Existing Customer,53,Male,3,Uneducated,Married,$80k - $120k,Blue,42,2,1,2,26792.00,1836.00,24956.00,1.43,2398.00,47.00,0.88,0.07
779562633,Existing Customer,45,Male,2,Uneducated,Married,$40k - $60k,Blue,34,3,2,1,5771.00,2248.00,3523.00,1.79,1387.00,18.00,0.80,0.39
715315833,Existing Customer,51,Male,3,Graduate,Married,$80k - $120k,Blue,36,6,2,3,11106.00,2107.00,8999.00,0.95,1243.00,24.00,1.00,0.19
719360583,Existing Customer,53,Male,1,Graduate,Married,$60k - $80k,Blue,45,6,2,2,3380.00,1701.00,1679.00,0.75,1502.00,25.00,1.27,0.50
709701558,Existing Customer,47,Male,3,Graduate,Married,$60k - $80k,Blue,36,2,1,2,21331.00,1251.00,20080.00,0.95,1460.00,50.00,1.08,0.06
780376683,Existing Customer,57,Male,1,Graduate,Married,$80k - $120k,Blue,47,5,3,1,14612.00,1976.00,12636.00,1.77,1827.00,24.00,3.00,0.14
780466533,Existing Customer,54,Male,3,Doctorate,Married,$120k +,Blue,41,3,3,0,21592.00,1676.00,19916.00,1.10,1873.00,52.00,0.53,0.08
712375758,Existing Customer,53,Male,3,Uneducated,Married,$80k - $120k,Blue,43,3,3,1,16393.00,1423.00,14970.00,1.64,1461.00,42.00,0.75,0.09
708868233,Attrited Customer,68,Male,0,High School,Married,Less Than $40k,Blue,52,1,3,2,1438.30,900.00,538.30,0.74,760.00,21.00,0.62,0.63
718030083,Existing Customer,59,Male,1,College,Married,$60k - $80k,Blue,36,4,1,2,7871.00,1687.00,6184.00,1.24,1428.00,22.00,1.44,0.21
720707283,Existing Customer,48,Male,4,Unknown,Married,$80k - $120k,Blue,36,5,3,0,5288.00,866.00,4422.00,0.87,1777.00,42.00,0.75,0.16
771698658,Existing Customer,44,Male,5,Graduate,Married,$60k - $80k,Blue,32,4,5,3,11376.00,2006.00,9370.00,0.62,1302.00,27.00,0.80,0.18
748326258,Existing Customer,48,Male,3,College,Married,$80k - $120k,Blue,41,4,5,3,12302.00,1632.00,10670.00,1.51,1483.00,41.00,0.52,0.13
770817783,Existing Customer,47,Male,4,Graduate,Married,$60k - $80k,Silver,33,3,2,1,34516.00,1679.00,32837.00,0.62,1060.00,27.00,0.50,0.05
779353083,Existing Customer,47,Male,2,Graduate,Married,$60k - $80k,Silver,32,4,2,2,34516.00,1468.00,33048.00,0.51,1330.00,32.00,0.68,0.04
711551958,Attrited Customer,59,Male,2,Post-Graduate,Married,$60k - $80k,Blue,46,3,3,3,1438.30,0.00,1438.30,0.69,844.00,24.00,0.50,0.00
809164083,Existing Customer,63,Male,1,Graduate,Married,$40k - $60k,Blue,56,2,1,2,2619.00,1779.00,840.00,1.26,1450.00,37.00,0.95,0.68
820596183,Existing Customer,58,Male,2,College,Married,$120k +,Blue,53,2,3,0,24407.00,2395.00,22012.00,1.07,2311.00,48.00,0.71,0.10
805543158,Existing Customer,52,Male,3,Graduate,Married,$120k +,Blue,47,5,3,3,11086.00,2207.00,8879.00,0.87,1523.00,40.00,1.11,0.20
716479233,Existing Customer,43,Male,4,High School,Married,$40k - $60k,Blue,36,5,3,2,13258.00,1721.00,11537.00,0.91,1080.00,21.00,1.33,0.13
770746908,Existing Customer,44,Male,4,Unknown,Married,$60k - $80k,Blue,30,5,1,2,7872.00,2509.00,5363.00,0.97,1155.00,32.00,0.88,0.32
794843883,Existing Customer,41,Male,3,High School,Married,$80k - $120k,Blue,35,6,1,2,34516.00,1202.00,33314.00,0.60,1353.00,33.00,0.74,0.04
758348808,Existing Customer,51,Male,2,Graduate,Married,$120k +,Blue,44,4,3,3,34516.00,1666.00,32850.00,0.61,1218.00,18.00,0.80,0.05
708711483,Existing Customer,57,Male,2,Unknown,Married,$80k - $120k,Blue,46,2,3,0,18871.00,1740.00,17131.00,1.73,1516.00,21.00,2.00,0.09
790096533,Existing Customer,55,Male,2,College,Married,$60k - $80k,Blue,48,4,3,2,8863.00,1301.00,7562.00,1.21,1512.00,27.00,1.46,0.15
720997383,Attrited Customer,52,Male,1,Uneducated,Married,$80k - $120k,Blue,36,2,3,3,1857.00,1833.00,24.00,0.72,829.00,17.00,0.70,0.99
709930758,Existing Customer,41,Male,2,Uneducated,Married,$40k - $60k,Blue,30,5,3,3,11107.00,1222.00,9885.00,0.54,1506.00,33.00,0.94,0.11
821797008,Attrited Customer,49,Male,5,College,Married,$40k - $60k,Blue,45,2,2,3,1438.30,0.00,1438.30,0.73,815.00,21.00,0.62,0.00
712125258,Attrited Customer,46,Male,4,High School,Married,$120k +,Blue,30,3,3,3,2442.00,0.00,2442.00,0.98,701.00,19.00,0.73,0.00
709703433,Existing Customer,47,Male,3,Graduate,Married,$60k - $80k,Blue,38,4,1,2,21304.00,1532.00,19772.00,1.02,1770.00,25.00,0.92,0.07
715952883,Existing Customer,73,Male,0,High School,Married,$40k - $60k,Blue,36,5,3,2,4469.00,1125.00,3344.00,1.36,1765.00,34.00,1.62,0.25
787348608,Existing Customer,70,Male,0,High School,Married,Less Than $40k,Blue,56,3,2,3,3252.00,1495.00,1757.00,0.58,1227.00,15.00,0.88,0.46
779656908,Existing Customer,40,Male,1,Graduate,Married,$40k - $60k,Blue,23,6,3,2,6990.00,1378.00,5612.00,0.73,1479.00,29.00,0.61,0.20
714677583,Attrited Customer,50,Female,3,Doctorate,Single,Unknown,Blue,36,4,3,3,5173.00,0.00,5173.00,0.91,8757.00,68.00,0.79,0.00
710620383,Existing Customer,43,Male,4,Unknown,Married,$60k - $80k,Blue,35,6,3,2,24396.00,1171.00,23225.00,0.66,965.00,17.00,1.13,0.05
789483333,Existing Customer,41,Male,2,Uneducated,Married,$40k - $60k,Blue,32,5,1,3,5214.00,795.00,4419.00,0.71,1258.00,23.00,1.30,0.15
719942883,Existing Customer,54,Male,5,Graduate,Married,$60k - $80k,Blue,38,3,3,3,2290.00,1434.00,856.00,0.92,1119.00,18.00,3.50,0.63
720615708,Existing Customer,57,Male,0,Uneducated,Married,$40k - $60k,Blue,45,6,2,2,2601.00,0.00,2601.00,0.81,1232.00,32.00,0.68,0.00
715085733,Existing Customer,61,Male,0,Graduate,Married,$40k - $60k,Blue,52,3,1,2,2939.00,1999.00,940.00,2.15,2434.00,33.00,1.54,0.68
788977833,Existing Customer,61,Male,0,Uneducated,Married,$80k - $120k,Blue,48,2,1,0,5362.00,1274.00,4088.00,1.02,1876.00,41.00,0.78,0.24
720272958,Attrited Customer,48,Male,2,High School,Married,$120k +,Blue,36,3,3,3,27126.00,0.00,27126.00,0.95,1000.00,25.00,0.79,0.00
779078733,Existing Customer,55,Male,2,Doctorate,Married,$60k - $80k,Blue,36,3,4,3,16427.00,1682.00,14745.00,0.63,1579.00,36.00,1.12,0.10
716458983,Existing Customer,60,Male,0,High School,Married,$40k - $60k,Blue,36,5,1,3,3281.00,837.00,2444.00,1.86,1424.00,29.00,1.42,0.26
715360458,Existing Customer,45,Female,3,Graduate,Divorced,Unknown,Blue,36,2,3,2,12406.00,1980.00,10426.00,0.79,8113.00,90.00,0.50,0.16
713747733,Existing Customer,55,Male,2,High School,Married,$40k - $60k,Blue,47,5,3,2,3096.00,2217.00,879.00,0.80,2011.00,41.00,0.78,0.72
712890408,Existing Customer,45,Male,2,Uneducated,Married,$60k - $80k,Blue,36,5,3,2,2221.00,1343.00,878.00,0.87,1338.00,30.00,1.31,0.61
779749908,Existing Customer,48,Male,4,College,Married,$60k - $80k,Gold,33,2,2,3,34516.00,2061.00,32455.00,0.72,1350.00,32.00,0.46,0.06
717401883,Existing Customer,35,Male,3,Uneducated,Married,$60k - $80k,Blue,22,5,2,2,6985.00,1130.00,5855.00,0.96,1694.00,44.00,0.76,0.16
721509558,Existing Customer,51,Male,2,Graduate,Married,$120k +,Blue,42,3,3,0,24221.00,1707.00,22514.00,0.82,1678.00,40.00,0.54,0.07
715203108,Existing Customer,63,Male,2,High School,Married,$40k - $60k,Blue,36,2,2,2,5007.00,930.00,4077.00,0.89,1050.00,28.00,1.15,0.19
710027508,Existing Customer,61,Male,0,Graduate,Married,$60k - $80k,Blue,54,3,2,0,1616.00,1047.00,569.00,0.98,1389.00,33.00,1.20,0.65
708330858,Attrited Customer,57,Male,3,Graduate,Married,$120k +,Blue,38,2,3,3,8249.00,1381.00,6868.00,0.80,678.00,11.00,0.83,0.17
712701333,Existing Customer,53,Male,3,High School,Married,$60k - $80k,Blue,43,5,3,2,5264.00,2169.00,3095.00,0.37,1219.00,27.00,0.50,0.41
715812258,Existing Customer,45,Male,2,High School,Married,$80k - $120k,Blue,34,5,5,2,12518.00,1539.00,10979.00,0.65,1165.00,33.00,0.83,0.12
778286433,Existing Customer,67,Male,0,Graduate,Married,$40k - $60k,Blue,56,4,2,1,5876.00,1297.00,4579.00,1.01,2133.00,55.00,0.72,0.22
788194458,Existing Customer,34,Male,3,High School,Married,$60k - $80k,Blue,26,4,3,3,3265.00,2517.00,748.00,0.95,1843.00,35.00,0.94,0.77
720779733,Existing Customer,56,Male,1,Uneducated,Married,$120k +,Blue,36,3,2,2,6041.00,1355.00,4686.00,0.69,1747.00,49.00,0.58,0.22
715024233,Existing Customer,53,Male,1,High School,Married,$120k +,Blue,36,6,3,2,3312.00,1844.00,1468.00,0.99,1740.00,32.00,0.88,0.56
709278258,Attrited Customer,54,Male,2,Unknown,Married,$40k - $60k,Blue,44,4,3,2,2902.00,2517.00,385.00,0.82,996.00,26.00,0.44,0.87
712299858,Existing Customer,62,Male,1,High School,Married,Less Than $40k,Blue,53,5,3,3,2077.00,1571.00,506.00,1.03,1365.00,38.00,1.00,0.76
809976033,Existing Customer,49,Male,2,Uneducated,Married,$60k - $80k,Blue,44,6,3,0,7819.00,1560.00,6259.00,0.83,1582.00,25.00,0.79,0.20
714871683,Attrited Customer,58,Male,1,Uneducated,Married,$40k - $60k,Blue,36,2,4,3,1438.30,537.00,901.30,0.82,715.00,13.00,0.18,0.37
716139933,Existing Customer,54,Male,0,High School,Married,$80k - $120k,Blue,36,3,1,2,16286.00,1710.00,14576.00,1.22,2552.00,49.00,1.23,0.11
716984658,Existing Customer,49,Male,1,Graduate,Married,$120k +,Blue,39,3,2,3,34516.00,0.00,34516.00,0.51,1106.00,31.00,0.94,0.00
719242533,Existing Customer,41,Male,5,High School,Married,$60k - $80k,Blue,33,5,3,3,22770.00,2517.00,20253.00,0.99,1882.00,38.00,0.65,0.11
788868858,Existing Customer,54,Male,2,Graduate,Married,Less Than $40k,Blue,39,4,4,2,2702.00,2517.00,185.00,1.02,1658.00,32.00,1.46,0.93
788808633,Existing Customer,43,Male,3,Graduate,Married,$80k - $120k,Blue,26,5,3,2,2355.00,1090.00,1265.00,0.75,1441.00,29.00,0.81,0.46
788853258,Existing Customer,41,Male,1,Uneducated,Married,$60k - $80k,Blue,25,3,2,0,7984.00,1503.00,6481.00,0.80,1734.00,39.00,1.17,0.19
719554758,Existing Customer,46,Male,2,Uneducated,Married,$80k - $120k,Blue,38,6,3,2,34516.00,2165.00,32351.00,0.84,1672.00,32.00,0.52,0.06
828281733,Existing Customer,43,Male,4,Unknown,Married,$120k +,Blue,39,3,3,3,14881.00,848.00,14033.00,0.76,1408.00,23.00,1.09,0.06
713441958,Existing Customer,46,Male,2,High School,Married,$120k +,Blue,36,5,3,2,19727.00,1785.00,17942.00,0.57,1245.00,25.00,0.79,0.09
719091333,Existing Customer,52,Male,0,Uneducated,Married,$60k - $80k,Blue,36,3,3,2,22720.00,793.00,21927.00,0.69,1102.00,27.00,0.29,0.04
708666258,Existing Customer,43,Male,4,Unknown,Married,$40k - $60k,Blue,36,5,3,0,8129.00,1799.00,6330.00,0.57,1402.00,33.00,0.74,0.22
772047183,Existing Customer,45,Male,4,High School,Married,$40k - $60k,Blue,34,6,3,3,3104.00,1766.00,1338.00,0.83,1353.00,24.00,1.18,0.57
714217908,Existing Customer,49,Male,3,Graduate,Married,$40k - $60k,Blue,41,5,3,2,2406.00,1560.00,846.00,0.75,1173.00,32.00,0.39,0.65
714819183,Existing Customer,63,Male,1,Uneducated,Married,$80k - $120k,Blue,36,5,2,3,24571.00,1955.00,22616.00,1.17,1746.00,28.00,1.00,0.08
752952108,Existing Customer,37,Male,4,Graduate,Married,$80k - $120k,Blue,26,6,2,3,2846.00,1818.00,1028.00,0.71,1473.00,37.00,1.18,0.64
714982383,Existing Customer,55,Male,2,High School,Married,$60k - $80k,Blue,36,4,3,3,7231.00,2381.00,4850.00,1.00,1421.00,23.00,1.30,0.33
794545983,Existing Customer,57,Male,2,Graduate,Married,$80k - $120k,Blue,40,3,2,3,12208.00,1980.00,10228.00,0.62,1409.00,34.00,0.62,0.16
715585158,Existing Customer,58,Male,1,Graduate,Married,$60k - $80k,Blue,46,3,3,2,10021.00,1617.00,8404.00,0.58,1275.00,25.00,0.67,0.16
810449883,Existing Customer,64,Male,0,Unknown,Married,Less Than $40k,Blue,56,6,1,0,2215.00,1915.00,300.00,0.79,1270.00,27.00,0.59,0.87
715022133,Existing Customer,53,Male,2,Graduate,Married,$60k - $80k,Blue,47,6,2,2,6363.00,1162.00,5201.00,0.64,1256.00,26.00,1.00,0.18
715699983,Existing Customer,56,Male,3,High School,Married,$60k - $80k,Blue,36,5,1,3,9226.00,1233.00,7993.00,1.52,1626.00,29.00,1.64,0.13
721144383,Existing Customer,42,Male,4,Graduate,Married,$60k - $80k,Silver,28,5,1,2,28202.00,843.00,27359.00,0.64,1629.00,38.00,0.73,0.03
804359133,Existing Customer,55,Male,0,High School,Married,$120k +,Blue,49,5,3,3,3805.00,2233.00,1572.00,1.10,1743.00,27.00,0.93,0.59
717354558,Attrited Customer,57,Male,2,Uneducated,Married,$120k +,Blue,40,3,3,3,3106.00,1120.00,1986.00,1.05,683.00,17.00,0.70,0.36
798473808,Existing Customer,48,Male,3,College,Married,$80k - $120k,Blue,42,3,3,0,7477.00,0.00,7477.00,0.51,1159.00,32.00,0.68,0.00
712372158,Existing Customer,45,Male,4,Unknown,Married,$120k +,Blue,33,6,1,3,34516.00,2086.00,32430.00,0.99,1859.00,47.00,0.96,0.06
715192308,Existing Customer,48,Male,2,High School,Married,$120k +,Blue,36,6,5,2,29963.00,2094.00,27869.00,0.65,1205.00,28.00,0.87,0.07
714639783,Attrited Customer,42,Male,3,College,Married,$60k - $80k,Blue,34,3,3,3,13450.00,0.00,13450.00,0.74,1000.00,18.00,0.06,0.00
709470858,Existing Customer,51,Male,4,College,Married,$120k +,Silver,31,5,2,1,34516.00,1254.00,33262.00,0.87,1366.00,25.00,0.79,0.04
779241783,Existing Customer,67,Male,1,Uneducated,Married,$40k - $60k,Blue,49,4,3,2,3106.00,1675.00,1431.00,0.78,1512.00,38.00,0.41,0.54
715205358,Existing Customer,39,Male,1,Graduate,Married,$60k - $80k,Blue,31,4,1,1,2536.00,913.00,1623.00,1.06,1750.00,35.00,1.33,0.36
710147958,Existing Customer,47,Male,3,High School,Married,$40k - $60k,Silver,36,3,2,2,16138.00,1249.00,14889.00,1.01,1198.00,33.00,0.83,0.08
709864833,Existing Customer,49,Male,2,Post-Graduate,Married,$60k - $80k,Blue,38,3,2,0,8077.00,1965.00,6112.00,0.64,1329.00,26.00,0.44,0.24
710004933,Existing Customer,44,Male,5,Uneducated,Married,$60k - $80k,Blue,36,3,3,2,8645.00,1454.00,7191.00,0.71,1435.00,25.00,1.78,0.17
719337408,Existing Customer,63,Male,0,High School,Married,$60k - $80k,Blue,36,6,2,3,2567.00,0.00,2567.00,1.64,2399.00,43.00,0.96,0.00
790099758,Existing Customer,40,Male,3,High School,Married,$40k - $60k,Blue,33,4,3,3,6884.00,1001.00,5883.00,0.79,975.00,11.00,0.83,0.15
778770783,Existing Customer,42,Male,4,High School,Married,$80k - $120k,Blue,30,6,1,0,29801.00,1916.00,27885.00,0.78,990.00,21.00,0.91,0.06
713134458,Existing Customer,54,Male,3,High School,Married,$120k +,Blue,43,4,1,1,13219.00,0.00,13219.00,0.58,1097.00,24.00,0.50,0.00
767695083,Existing Customer,50,Male,2,Graduate,Married,$80k - $120k,Blue,44,3,3,0,4589.00,0.00,4589.00,0.85,1590.00,37.00,0.37,0.00
718349058,Existing Customer,49,Male,3,High School,Married,$80k - $120k,Blue,39,3,3,2,29659.00,1143.00,28516.00,0.51,1193.00,21.00,0.62,0.04
789842283,Attrited Customer,54,Male,2,Graduate,Married,$60k - $80k,Blue,42,3,3,2,4320.00,0.00,4320.00,0.97,706.00,21.00,0.50,0.00
719418933,Attrited Customer,53,Male,2,Uneducated,Married,$80k - $120k,Blue,36,1,3,3,4503.00,0.00,4503.00,0.66,748.00,20.00,0.43,0.00
720115683,Existing Customer,47,Male,3,Uneducated,Married,$80k - $120k,Blue,36,6,2,2,29770.00,1565.00,28205.00,0.67,1774.00,42.00,2.00,0.05
717392358,Existing Customer,60,Male,1,Graduate,Married,$80k - $120k,Blue,50,6,2,2,23412.00,1078.00,22334.00,0.79,1786.00,50.00,0.79,0.05
708217758,Existing Customer,63,Male,2,Graduate,Married,$60k - $80k,Blue,49,5,2,3,14035.00,2061.00,11974.00,2.27,1606.00,30.00,1.50,0.15
717469158,Existing Customer,46,Male,2,Unknown,Married,$80k - $120k,Blue,30,6,3,0,18578.00,1385.00,17193.00,0.57,1606.00,54.00,0.42,0.08
709122483,Existing Customer,56,Male,3,Graduate,Married,$60k - $80k,Blue,37,3,3,0,2783.00,1526.00,1257.00,0.94,1909.00,54.00,0.69,0.55
789337233,Existing Customer,63,Male,1,Graduate,Married,$40k - $60k,Blue,53,6,6,2,2880.00,2362.00,518.00,0.89,1323.00,26.00,0.44,0.82
721043058,Existing Customer,58,Male,4,Unknown,Married,$60k - $80k,Blue,44,5,1,3,12010.00,2149.00,9861.00,0.80,1700.00,35.00,1.50,0.18
717701733,Existing Customer,44,Male,2,Graduate,Married,$80k - $120k,Blue,35,3,2,2,11910.00,2098.00,9812.00,1.16,1646.00,39.00,1.29,0.18
721375308,Existing Customer,48,Male,3,High School,Married,$80k - $120k,Blue,36,5,1,3,30579.00,1351.00,29228.00,0.76,1289.00,19.00,0.73,0.04
712138983,Existing Customer,54,Male,1,Graduate,Married,$60k - $80k,Blue,36,3,3,2,2947.00,2216.00,731.00,0.76,1744.00,53.00,0.61,0.75
716920908,Existing Customer,52,Male,4,High School,Married,$80k - $120k,Blue,42,6,1,0,5738.00,1112.00,4626.00,1.52,1922.00,48.00,0.66,0.19
772735758,Existing Customer,44,Male,1,Unknown,Married,Unknown,Blue,34,6,2,0,2885.00,1895.00,990.00,0.39,1366.00,31.00,0.63,0.66
714893733,Existing Customer,55,Male,1,High School,Married,$80k - $120k,Blue,45,3,3,3,16794.00,809.00,15985.00,1.57,1917.00,33.00,0.94,0.05
710558883,Existing Customer,41,Male,3,Uneducated,Married,$60k - $80k,Blue,36,5,3,2,17391.00,1044.00,16347.00,1.08,1248.00,27.00,0.69,0.06
712049208,Existing Customer,56,Male,3,Post-Graduate,Married,$60k - $80k,Blue,39,3,1,2,3955.00,2517.00,1438.00,0.48,1238.00,25.00,1.08,0.64
710202783,Existing Customer,33,Male,2,Graduate,Married,$60k - $80k,Blue,13,3,3,3,1963.00,1721.00,242.00,0.68,1378.00,37.00,0.76,0.88
779610033,Attrited Customer,58,Male,1,College,Married,$80k - $120k,Blue,47,3,3,3,12151.00,1799.00,10352.00,1.02,918.00,14.00,0.56,0.15
721183983,Existing Customer,48,Male,4,High School,Married,$120k +,Blue,31,6,3,1,34516.00,1013.00,33503.00,0.58,1222.00,37.00,0.85,0.03
710698233,Existing Customer,37,Male,4,Graduate,Married,$80k - $120k,Blue,28,4,1,2,10021.00,1203.00,8818.00,0.93,1463.00,40.00,1.00,0.12
719366358,Existing Customer,51,Male,3,High School,Married,$120k +,Blue,40,6,3,2,7319.00,1692.00,5627.00,0.70,1233.00,29.00,0.61,0.23
721417233,Attrited Customer,45,Male,2,Graduate,Married,$60k - $80k,Blue,25,3,5,3,1438.30,0.00,1438.30,0.68,709.00,27.00,0.42,0.00
714578283,Existing Customer,47,Male,1,Graduate,Married,$60k - $80k,Blue,37,6,3,0,2053.00,0.00,2053.00,0.87,1283.00,28.00,1.15,0.00
